Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44492287,"Heretics of Dune (Dune, #5)",Frank Herbert,"Herbert, Frank",,"=""0593098269""","=""9780593098264""",5,3.87,Ace,Paperback,669,2019,1984,2022/04/09,2022/03/13,,,read,"read ~50% of this book and then took a break and forgot the plot so had to start from the beginning but it was well worth it -- I actually want to reread the others now because when you don't have to focus on figuring out wtf is going on and who is every new character in each chapter, it is a delightful read",,,1,0
80886,The Selected Stories of Patricia Highsmith,Patricia Highsmith,"Highsmith, Patricia",Graham Greene,"=""0393327728""","=""9780393327724""",4,4.14,W. W. Norton & Company,Paperback,736,2005,2001,2022/04/01,2022/02/06,,,read,,,,1,0
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",0,4.19,Tor Books,Mass Market Paperback,800,1990,1990,,2022/03/22,to-read,to-read (#54),to-read,,,,0,0
7244,The Poisonwood Bible,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060786507""","=""9780060786502""",2,4.09,Harper Perennial Modern Classics,Hardcover,546,2005,1998,2022/03/20,2021/11/05,,,read,not good! do not know why I kept going. cannot recommend,,,1,0
44439415,"God Emperor of Dune (Dune, #4)",Frank Herbert,"Herbert, Frank",,"=""0593098250""","=""9780593098257""",4,3.88,Ace,Paperback,587,2019,1981,2022/03/13,2022/03/06,,,read,"it was fine, not amazing. but also frank herbert fully decided to make the most sexual dune book the one about a man actively turning into a worm, so there's that.",true,,1,0
43801817,Full Throttle,Joe Hill,"Hill, Joe",,"=""0062200674""","=""9780062200679""",0,4.00,William Morrow,Hardcover,480,2019,2012,,2022/02/27,"started-unfinished, to-read","started-unfinished (#6), to-read (#53)",to-read,,,,0,0
18889555,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""""","=""""",5,4.30,Beacon Press,Kindle Edition,306,2004,1979,2022/03/05,2022/02/06,,,read,"wow!! so heartbreakingly good, thank you friends for the recs. such complex characters in such complex situations, I sometimes had to pause to breathe. and I really liked that the focus of the book wasn't how-does-time-travel-work and instead focused on the characters. superb scifi",,,1,0
44492286,"Children of Dune (Dune, #3)",Frank Herbert,"Herbert, Frank",,"=""0593098242""","=""9780593098240""",5,3.96,Ace,Paperback,609,2019,1976,2022/03/01,2022/02/21,,,read,this has been my favorite dune so far! but the ending was very rushed just like the end of dune 1. im not dying to read dune 4 but probably will. ,,,1,0
49705087,"Linguistic Justice: Black Language, Literacy, Identity, and Pedagogy",April Baker-Bell,"Baker-Bell, April",,"=""1315147386""","=""9781315147383""",0,4.65,Routledge,Unknown Binding,,2020,,,2022/03/01,to-read,to-read (#52),to-read,,,,0,0
988758,Acres of Skin: Human Experiments at Holmesburg Prison,Allen M. Hornblum,"Hornblum, Allen M.",,"=""0415923360""","=""9780415923361""",0,3.88,Routledge,Paperback,334,1999,1998,,2022/02/25,to-read,to-read (#51),to-read,,,,0,0
58082213,Healing: Our Path from Mental Illness to Mental Health,Thomas Insel MD,"MD, Thomas Insel",,"=""0593298047""","=""9780593298046""",0,4.21,Penguin Press,Hardcover,336,2022,,,2022/02/24,to-read,to-read (#50),to-read,,,,0,0
44492285,"Dune Messiah (Dune, #2)",Frank Herbert,"Herbert, Frank",,"=""0593098234""","=""9780593098233""",4,3.89,Ace,Mass Market Paperback,337,2019,1969,2022/02/21,2022/02/16,,,read,the first 100 pages were TERRIBLE and I told myself I would just finish it to give it a chance but... im reading number 3 now. im still not totally convinced I like it though. <br/><br/>side note how was this so widely read I feel like I need a dictionary and sparknotes the whole time and it makes me feel dumb... but knowing the targeted readership maybe that was part of the appeal of oooh I read smart book == I am smart,,,1,0
6493443,The Lonely Songs of Laren Dorr,George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",0,3.90,,Kindle Edition,,,1976,,2022/01/24,,,read,listened to the alt shwift x recording of this and its a great story! especially with his narration,,,1,0
51619282,Lean Semesters: How Higher Education Reproduces Inequity (Critical University Studies),Sekile M. Nzinga,"Nzinga, Sekile M.",,"=""1421438763""","=""9781421438764""",5,4.54,Johns Hopkins University Press,Hardcover,224,2020,,2022/02/19,2021/05/10,,,read,"ok so this turned out to be more of a long scientific article than it did a book, both in organizational structure and language, but I found it a really powerful read once I put myself into the more academic mindset! glad I finally was able to get a copy to read. put into stark contrast the differences between people getting funded ""tuition free"" phds (like mine) and those paying for their own research + school + living while pursuing them. and, I learned a lot about the adjunct faculty job market I did not know. made me reconsider a mental frame of higher education leading to a linear improvement in social+economic possibilities for all. definitely want to read more in this area of research, because parts of the nuances about the ways neoliberalism has affected academic dynamics definitely went over my head.",,,1,0
15796700,Americanah,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",Jashar Awan,"=""""","=""""",5,4.32,Alfred A. Knopf,Hardcover,477,2013,2013,2022/02/16,2022/02/07,,,read,enjoyed it! wish we got more from obinze because I liked him more than ifemelu BUT still great read. I appreciate how not static the characters were,,,1,0
41459037,The Lesson,Cadwell Turnbull,"Turnbull, Cadwell",,"=""1538584646""","=""9781538584644""",2,3.58,Blackstone Publishing,Hardcover,286,2019,2019,2022/02/07,2021/08/19,,,read,"not my jam! very slow writing for scifi which is only excusable with a great plot, which this unfortunately didn't have. ",,,1,0
391882,Found in the Street,Patricia Highsmith,"Highsmith, Patricia",Gary Fisketjon,"=""0871133261""","=""9780871133267""",4,3.44,Atlantic Monthly Press,Paperback,288,1994,1986,2022/01/04,2022/02/06,,,read,weird one!,,,1,0
158888,A Game for the Living,Patricia Highsmith,"Highsmith, Patricia",,"=""""","=""""",3,3.23,Atlantic Monthly Press,Paperback,282,1994,1958,2022/02/01,2022/02/06,,,read,patricia... typically I like your murder mysteries but this was just very thinly veiled meditations on religion which were only half baked. never really went anywhere. ,,,1,0
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen Snyder,"=""1101870605""","=""9781101870600""",4,3.73,Pantheon,Hardcover,274,2019,1994,2022/01/08,2022/02/06,,,read,"compelling writing but missing narrative I wanted. felt like a really good first half of a story, I wanted more",,,1,0
55867888,"The Icepick Surgeon: Murder, Fraud, Sabotage, Piracy, and Other Dastardly Deeds Perpetrated in the Name of Science",Sam Kean,"Kean, Sam",,"=""0316496502""","=""9780316496506""",4,3.99,"Little, Brown and Company",Hardcover,368,2021,2021,2022/01/15,2021/12/27,,,read,"good quick read, get swept away with evil scientists. some parts deserve more gravity than they got but would recommend, sam kean is a great writer",,,1,0
53914938,The Rose Code,Kate Quinn,"Quinn, Kate",,"=""0062943472""","=""9780062943477""",4,4.46,William Morrow,Paperback,624,2021,2021,2022/01/06,2021/10/29,,,read,enjoyed very much! the last 10% was beyond cheesy but didn't spoil the rest at all. thank you vivienne for the rec!,,,1,0
10964,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,"=""0440242940""","=""9780440242949""",0,4.26,Dell Publishing Company,Mass Market Paperback,850,2005,1991,,2022/01/16,to-read,to-read (#49),to-read,,,,0,0
51931067,Felix Ever After,Kacen Callender,"Callender, Kacen",,"=""0062820257""","=""9780062820259""",4,4.26,Balzer + Bray,Hardcover,368,2020,2020,2021/12/29,2021/11/22,,,read,"fun book! very tell-not-show but a fine read and definitely not my typical genre, thank u jenny for the rec",,,1,1
89717,The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",,"=""0143039989""","=""9780143039983""",4,3.82,Penguin Classics,Paperback,182,2006,1959,2021/12/27,2021/12/09,,,read,"unsettling is the best way to describe it, very good! thank you hannah for the rec",,,1,1
